id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
969601624649419772,Home in Boston · ★5.0 · 3 bedrooms · 5 beds · 1 bath,319011975,David,,Dorchester,42.31584,-71.05509,Entire home/apt,207,1,3,2023-12-03,1.58,4,303,3,STR-446902
970182278615303492,Rental unit in Boston · 1 bedroom · 2 beds · 1 bath,468418352,Ofri,,Brighton,42.33886227708896,-71.15213032985815,Entire home/apt,80,91,0,,,1,124,0,
970252095443904336,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34129106189011,-71.09350961031274,Entire home/apt,80,1,4,2023-12-12,1.52,87,365,4,STR-540404
970252129528759181,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34121888379682,-71.09344243524382,Entire home/apt,80,1,6,2023-12-03,4.09,87,355,6,STR-540392
970252331842180905,Rental unit in Boston · ★4.0 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.33969,-71.09415,Entire home/apt,51,1,3,2023-11-13,1.13,87,364,3,STR-540393
970253205610322340,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34168617543995,-71.09518205208003,Entire home/apt,84,1,5,2023-12-08,2.42,87,357,5,STR-540400
970253217998897434,Rental unit in Boston · ★4.86 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.341502139596166,-71.09552725688755,Entire home/apt,54,1,7,2023-12-09,2.63,87,357,7,STR-540402
970253349165956159,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34120183250004,-71.09574333809945,Entire home/apt,87,32,0,,,87,351,0,STR-540403
970253359117204846,Rental unit in Boston · ★4.57 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34675,-71.09135,Entire home/apt,80,1,7,2023-12-09,3.23,87,328,7,STR-540405
970253404738966318,Rental unit in Boston · ★4.33 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34484487859594,-71.0906269950402,Entire home/apt,80,1,9,2023-11-13,3.51,87,358,9,STR-540409
970253528209468566,Rental unit in Boston · ★4.40 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.344704861725305,-71.09044872306895,Entire home/apt,81,1,4,2023-11-20,1.60,87,0,4,STR-540407
970253656712625913,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.33963722877396,-71.09398343821611,Entire home/apt,81,1,8,2023-12-02,3.08,87,0,8,STR-540410
970253834535686815,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34534,-71.09138,Entire home/apt,92,1,2,2023-10-23,0.90,87,329,2,STR-540412
970253956811711528,Rental unit in Boston · ★4.75 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34105205432993,-71.09383555030999,Entire home/apt,80,1,4,2023-11-18,1.48,87,359,4,STR-540413
970254183341401847,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34138,-71.0954,Entire home/apt,54,1,2,2023-11-18,1.71,87,0,2,STR-540415
970254250921550781,Rental unit in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34159093155845,-71.09413088507534,Entire home/apt,51,1,6,2023-11-13,2.40,87,359,6,STR-540416
970254385841933801,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34141,-71.09514,Entire home/apt,54,1,6,2023-12-06,2.61,87,356,6,STR-540418
970254498756780127,Rental unit in Boston · ★4.33 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.341708921510254,-71.09485568035703,Entire home/apt,54,1,5,2023-12-06,1.97,87,0,5,STR-540419
970254959601719331,Rental unit in Boston · ★4.50 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34659,-71.0892,Entire home/apt,96,1,3,2023-11-18,1.15,87,0,3,STR-540426
970255334813267456,Rental unit in Boston · ★4.17 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34127,-71.09568,Entire home/apt,54,1,6,2023-10-30,2.47,87,363,6,STR-540428
