id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34419944,Home in Jersey City · ★4.0 · 1 bedroom · 1 bed · 1 private bath,259830602,B,,Ward C (councilmember Richard Boggiano),40.73705,-74.04877,Private room,59,28,3,2023-10-29,0.23,2,365,2,
34420009,Home in Jersey City · 1 bedroom · 1 bed · 2 shared baths,259830602,B,,Ward C (councilmember Richard Boggiano),40.73701,-74.04881,Private room,59,28,1,2020-10-03,0.03,2,365,0,
34507036,Townhouse in Jersey City · ★4.67 · 1 bedroom · 1 bed · 3 shared baths,203121906,Zack,,Ward C (councilmember Richard Boggiano),40.73195,-74.05746,Private room,49,29,6,2021-11-15,0.11,8,237,0,
34507303,Townhouse in Jersey City · ★4.74 · 1 bedroom · 1 bed · 3 shared baths,203121906,Zack,,Ward C (councilmember Richard Boggiano),40.7337166296288,-74.05558402418664,Private room,70,10,19,2023-10-01,0.34,8,289,2,
34885928,Home in Jersey City · ★4.0 · 1 bedroom · 1 bed · 1 shared bath,242570645,Albert,,Ward F (councilmember Jermaine D. Robinson),40.70968,-74.07627,Private room,72,1,4,2023-12-03,0.10,11,82,1,
34937379,Rental unit in Jersey City · ★4.95 · 2 bedrooms · 3 beds · 1 bath,153747570,Julian,,Ward C (councilmember Richard Boggiano),40.73866,-74.05204,Entire home/apt,225,3,21,2023-12-18,0.38,1,170,5,
35078177,Loft in Jersey City · ★4.82 · 1 bedroom · 1 bed · 1 bath,64292347,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.72075,-74.06618,Entire home/apt,101,10,125,2021-01-03,2.26,1,80,0,
35165304,Rental unit in Jersey City · ★4.83 · 1 bedroom · 2 beds · 1 bath,13354338,Olga,,Ward E (councilmember James Solomon),40.71844086915309,-74.04455870548495,Entire home/apt,206,2,265,2023-12-21,4.79,2,0,54,STR20-00053
35182944,Condo in Jersey City · ★4.95 · 2 bedrooms · 3 beds · 1 bath,524862,Troy,,Ward C (councilmember Richard Boggiano),40.73017,-74.05838,Entire home/apt,136,28,19,2023-12-12,0.35,1,245,4,
35270822,Rental unit in Jersey City · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,131327596,Sebastian,,Ward E (councilmember James Solomon),40.72302,-74.04326,Private room,40,29,33,2023-10-11,0.60,3,62,1,
35347300,Home in Jersey City · ★4.33 · 1 bedroom · 2 beds · 1 shared bath,259979677,V,,Ward D (councilmember Michael Yun),40.75124,-74.05016,Private room,299,28,18,2020-12-28,0.34,1,364,0,
35533490,Rental unit in Jersey City · ★4.83 · 1 bedroom · 2 beds · 1 bath,132888217,K,,Ward F (councilmember Jermaine D. Robinson),40.72168,-74.06844,Entire home/apt,164,4,163,2023-11-14,2.97,4,207,37,
35535786,Rental unit in Jersey City · ★4.83 · Studio · 1 bed · 1 bath,132888217,K,,Ward F (councilmember Jermaine D. Robinson),40.72133,-74.06962,Entire home/apt,167,4,132,2023-11-15,3.06,4,226,28,
35538046,Rental unit in Jersey City · ★4.84 · 1 bedroom · 1 bed · 1 bath,132888217,K,,Ward F (councilmember Jermaine D. Robinson),40.72062,-74.06929,Entire home/apt,179,4,82,2023-12-02,1.50,4,215,38,
35538177,Rental unit in Jersey City · ★4.77 · 2 bedrooms · 3 beds · 1 bath,132888217,K,,Ward F (councilmember Jermaine D. Robinson),40.71975,-74.06879,Entire home/apt,192,4,105,2023-11-21,1.91,4,144,27,
35840715,Rental unit in Jersey City · ★4.64 · 2 bedrooms · 2 beds · 1 bath,164162478,Evans,,Ward A (councilmember Denise Ridley),40.70316,-74.08683,Entire home/apt,98,28,11,2023-09-30,0.28,2,0,2,
