id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49633338,Rental unit in Minneapolis · ★4.83 · 1 bedroom · 1 bed · 1 bath,40963654,Paul,,Hennepin,44.95754,-93.28843,Entire home/apt,90,1,109,2023-11-13,3.45,2,170,25,LIC-139715
49658091,Home in Saint Paul · ★5.0 · 1 bedroom · 3 beds · 1 bath,79128867,Natasha,,Ramsey,44.942051,-93.104851,Entire home/apt,155,2,37,2023-12-09,1.18,3,323,9,
49664795,Rental unit in Saint Paul · ★4.88 · 2 bedrooms · 3 beds · 1 bath,398931079,Austin And Elizabeth,,Ramsey,44.927532,-93.129372,Entire home/apt,131,2,57,2023-10-17,1.82,5,69,22,21000085
49673565,Rental unit in Minneapolis · ★4.92 · 2 bedrooms · 3 beds · 1 bath,56663054,Kyle,,Hennepin,44.99886,-93.23934,Entire home/apt,95,2,93,2023-10-26,2.92,3,174,20,STR-383320
49674796,Home in South Haven · 4 bedrooms · 10 beds · 4 baths,309239984,Heather,,Wright,45.32897,-94.11549,Entire home/apt,871,4,1,2022-08-12,0.06,1,351,0,
49709415,Rental unit in Minneapolis · ★4.95 · 2 bedrooms · 2 beds · 1 bath,400912599,Janine,,Hennepin,44.98865,-93.24343,Entire home/apt,108,2,84,2023-11-12,2.70,6,327,17,STR-392533
49713296,Guesthouse in Minneapolis · ★4.76 · 1 bedroom · 1 bed · 1 bath,25367523,Cj,,Hennepin,44.95462,-93.27991,Entire home/apt,59,2,86,2023-11-11,2.74,1,110,16,Exempt
49717167,Boutique hotel in Excelsior · ★4.83 · 1 bedroom · 2 beds · 1 bath,394417655,Tyler,,Hennepin,44.90281,-93.56633,Private room,275,1,6,2023-10-18,0.23,5,301,3,
49717212,Boutique hotel in Excelsior · ★4.93 · 1 bedroom · 2 beds · 1 bath,394417655,Tyler,,Hennepin,44.90199,-93.5682,Private room,275,1,15,2023-11-26,0.56,5,293,2,
49717268,Boutique hotel in Excelsior · ★4.83 · 1 bedroom · 2 beds · 1 bath,394417655,Tyler,,Hennepin,44.90381,-93.56661,Private room,275,1,23,2023-11-19,0.74,5,275,12,
49717308,Boutique hotel in Excelsior · ★5.0 · 1 bedroom · 1 bed · 1 bath,394417655,Tyler,,Hennepin,44.90205,-93.56781,Private room,275,1,13,2023-08-06,0.42,5,286,3,
49723339,Home in Rosemount · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,113051490,Tati,,Dakota,44.75715,-93.12083,Private room,300,365,5,2023-08-01,0.30,4,109,2,
49737544,Home in Saint Paul · ★4.84 · 1 bedroom · 1 bed · 1 bath,15087188,Deb,,Ramsey,44.97662,-93.09582,Entire home/apt,88,2,19,2023-09-07,0.97,1,187,6,2022-0000-611
49749020,Home in Cambridge · ★5.0 · 5 bedrooms · 7 beds · 3 baths,249638374,Leslie,,Isanti,45.53745,-93.40172,Entire home/apt,285,2,28,2023-11-08,1.49,1,270,16,
49752725,Home in Minneapolis · ★4.80 · 4 bedrooms · 5 beds · 3 baths,24051954,Minnestay,,Hennepin,44.92201,-93.24522,Entire home/apt,252,1,10,2023-07-10,0.33,100,350,1,STR-243756
49757704,Home in Minneapolis · ★5.0 · 1 bedroom · 3 beds · 1 bath,1935795,Michelle,,Hennepin,44.96532,-93.29298,Entire home/apt,130,2,13,2023-11-06,0.84,2,81,9,Exempt
49772292,Home in Hudson · ★5.0 · 2 bedrooms · 2 beds · 1 bath,181360538,Amy,,St. Croix,44.98408,-92.7604,Entire home/apt,150,2,38,2023-11-25,2.60,1,0,30,
49777721,Home in Minneapolis · 4 bedrooms · 5 beds · 5 baths,401459098,Lisa,,Hennepin,44.95685,-93.33071,Entire home/apt,2700,2,1,2021-08-29,0.04,1,179,0,
